tweetId,tweet,favorites
1639187461577363456,"Macron while asking for sacrifices from the French people realizes he is wearing a € 80,000 watch and like a magician makes it disappear under the table. Unworthy. https://t.co/zRiQWFAR1M",46244
1668909937794097152,"Die Polizei hat in einer Berliner Wohnung 451.600 Euro in bar gefunden. Es gibt Informationen darüber, wie er eine so große Summe Geld verdient hat.",2250
1670182772709769216,"🚨🇺🇸 Philadelphia, USA 🇺🇸🚨

Filmed yesterday - armoured vehicles moving through another city.

You’re not telling me this is simply a national military training exercise. https://t.co/rWrVo0fKkl",1432
1591206480338116608,"@BernieSanders Full answer to insulin price question is complex. Short answer is that original insulin, discovered in 1921 (not 1923), is inexpensive, costing as little as $25. 

New, higher efficacy analog variants of insulin are more expensive. @CommunityNotes

https://t.co/S4c0esI1vU",27115
1647035429290377216,"Water powered car- 
🔦
The parasitic controllers do not like challenges to big oil. https://t.co/bgo26vvHnm",699
1654471265292369920,https://t.co/ikKGsG4Z8G,754
1662128886845435904,China has developed a mobile drone toilet that can be requested via an app remotely https://t.co/ZnPTUesbLV,17245
1768663884154494976,"12 years ago today I walked into prison to serve 14 years for practicing politics. Weaponized prosecutors did to me then, what they are doing to Trump now. I would NEVER GIVE IN &amp; neither is Trump. Some things are so important you must be willing to go down fighting! https://t.co/KEtZTNwqaI",2526
1623642867976527872,"JUST IN🚨: :A Kilometer wide Asteroid Could Potentially Crash Into Earth's Orbit Next Week

https://t.co/GTTIG4iEhQ",3656
1565497116507660288,@brikeilarcnn They are stationed there. Much like the Marine that stands aside the Oval Office door. You turnin’ too? We heard the whispers about CNN’s higher ups leaning a little farther to the right.,1711
1618217167388053504,German foreign minister declares war on Russia https://t.co/C4cAqnZXhD,10246
1576522127620063232,The Royal Family’s Newest Titles https://t.co/HRy7dJZD1v,255
1728145307072958720,His season is really over because the Cavs had a hole in their court covered up by a piece of paper… he should sue https://t.co/cvepXpeHhu,56607
1684198454292099072,"#Dordogne

Le député ⁦@Serge_Muller24⁩ se mobilise pour sauver #PlaisirDesFleurs

Dans moins de 15 jours, une loi inadaptée et trop rigide provoquera l’euthanasie d’un ancien trotteur français du nom de Plaisir des Fleurs⤵️ https://t.co/olimQbKBX7",106
1781974512591855616,"They're never going to stop, until we stop them

Unless anyone knows of a group already being organised, I propose we establish one 

To coordinate a campaign where we approach airports with a goal of identifying individuals &amp; organisations responsible

Thoughts?

#chemtrails https://t.co/L2XDyi3oUY",532
1667947301988610048,"36 years since the first Black MPs were elected, I'm proud that the Labour Party has become more diverse.

But there is more to be done.

The Bernie Grant Leadership Programme, in memory of pioneering MP Bernie Grant, is a six month training programme for Black aspiring leaders. https://t.co/iI9KlHGFiQ",799
1688575469711425536,"Mindgrasp is World’s #1 AI Assistant Tool

Save time and learn smarter 📖📚📝

Sign up for Free Now!",2456
1769422612675858688,"Ex-Präsident Trump droht mit einem Blutbad, sollte er nicht gewählt werden. Das sollte Republikaner mit einem Rest Anstand wachrütteln. Kommentar von Peter Burghardt #SZPlus https://t.co/FZ4YdXKlO6",257
1677733159545217024,"dear twitter: i need AS MANY different versions of mario as possible it's for a video, let me know who made it cuz credits will be given https://t.co/E7g2l6c3bZ",381
1614682779765309440,"Joe Biden has instituted a new program to make it easier for illegals to get amnesty &amp; stay in the US using a mobile app.

So they’re running for their lives yet they have working smartphones, 4G and time to plan their trip down to the minute when they reach the southern border?",11286
1688126707079708672,Action scenes from Charlie Chaplin movies. https://t.co/Ueorq7Lf8c,3606
1590019165611782144,"If you have already *checked in* at a Maricopa County voting location where the tabulators do not work, you should *not* leave and go to another location without casting a vote.  Your provisional ballot at the new location likely will not count. (1/2)",33568
1571261923970416640,"Something tells me that President Biden calling all Trump supporters “domestic terrorists” is going to backfire.

Check out the crowd that gathered in Idaho for the Reawaken America Tour. https://t.co/BMnjUyAfFn",860
1638206494922485760,they got his funky ass SHOOK 😭 https://t.co/I1sZY1fJfp,44009
1665702089551478784,"⬆️ 636  👉 WedgeTurn commented:

⭐There's more than one problem to solve for this to be a viable treatment. The problem is not only 'Can we regrow teet...",0
1594195847704907776,trumps first tweet is wild wtf https://t.co/m2n1AWQNth,27791
1656121758544539648,What can’t President Trump do? He’s so talented! https://t.co/ALl7HTeUiJ,2482
1691131154374836224,"🚨 BREAKING 🚨

Michael Burry the famous “ Big Short ""
who predicted the crash of 2008 have
just shorted the stock market with $1.6B

That’s 93% of his entire portfolio.

Now either he is wrong or we are fcked",14406
