,tweetId
6374,1742898926355911168
6381,1623913412840558592
6393,1749133445631226112
6395,1779248577488789760
6418,1656121758544539648
6421,1668161905662259200
6425,1759775070443245824
6433,1720348383133495296
6448,1691131154374836224
6462,1738752746558308864
6478,1756805298533093632
6479,1658983679111094272
6485,1738200186030023168
6508,1629265093069524992
6510,1636738702495064064
6539,1697282674153361408
6565,1731848794155647232
6569,1767642244117303552
6593,1663215176412282880
6595,1758220749087687168
6599,1531088858724581376
6609,1768301393176084736
6635,1712093442648465408
6645,1732342251399901440
6653,1763404121804050432
6666,1655949015186558976
6685,1711395126306631936
6701,1729122805818777600
6736,1748254571233734656
6759,1742304731761123840
6760,1764652972913397760
6772,1713457731221286912
6773,1720838822009704960
6785,1731712214292476160
6824,1598466496547942400
6831,1604955343402029056
6835,1629263036367216640
6847,1651505815579430912
6863,1673412827850358784
6867,1757258031392280576
6869,1718293565170758144
6870,1725037149261603072
6872,1770041397287989504
6873,1782345231498653696
6875,1767275769791700992
6880,1699020628966154496
6886,1719701611545501952
6897,1762630457928175616
6900,1782383107615654144
6910,1708755191921611008
6919,1646900613865955328
6920,1655987858065195008
6923,1718853338895196672
6924,1774268700905935104
6931,1649615429328052224
6954,1701694784061280768
6959,1734853463203295488
6970,1700957319671001344
6974,1718026366971433216
7002,1655463091365203968
7007,1714284325204844800
7018,1750869511509549568
7019,1764322049743368448
7056,1724013849509044224
7080,1761990306734719232
7084,1781082856229413120
7088,1686304512162643968
7096,1752306304025002240
7102,1599566932503826432
7104,1605957711631249408
7108,1739854196642377728
7112,1772341045805649920
7120,1769665271197782016
7121,1707838800154538496
7146,1728810145256443904
7165,1626770495650537472
7179,1772568752678179328
7183,1741449789122740480
7186,1660961070226219008
7198,1576736389999497216
7208,1698766724881858560
7226,1769364194338455552
7236,1741135349789659392
7263,1763442610406822144
7298,1715369802053698048
7299,1714163461591056640
7302,1715964154983354880
7318,1742389803126239744
7333,1754336964059234560
7336,1762921119990812672
7365,1609454550452424704
7366,1619712218894897152
7369,1732845698066812928
7374,1770057998670434304
7382,1742219889027203328
7394,1744462172262993920
7398,1761804394012479488
7415,1539936969001680896
7436,1710009060412567552
7451,1772659425695683072
7467,1760851036627988736
7493,1738392345757053440
7502,1740819920630456576
7506,1741444091265855488
7508,1742299100060733952
7510,1742690662863286528
7515,1743193787977880064
7518,1744035619024564736
7519,1744143126930116864
7521,1744549047338443264
7526,1745130644915556352
7527,1745191042272686336
7528,1745555411590082816
7530,1746231671500747264
7538,1747063115211043072
7544,1749174237925945344
7565,1753288529508188160
7566,1752967307133882624
7576,1756005060054528512
7585,1671497609377116160
7588,1774900822838538752
7593,1691808507283091712
7595,1674187428708450304
7596,1679546430430519296
7600,1712107696827088896
7601,1660548955678322688
7612,1758087727487111424
7626,1544782995189600256
7633,1708222505713102848
7642,1656044412588179456
7643,1717729768676692480
7655,1783568560360399104
7662,1706848377747456512
7670,1761184037102657792
7673,1769552434819481856
7675,1735390973650149888
7684,1779089461839569152
7686,1770458524063277568
7716,1746882661480636928
7728,1644638493883211776
7738,1765147211887767552
7749,1743562298009035008
7765,1614779646347821056
7768,1682555323016437760
7770,1783457360150675712
7776,1636033415328792576
7779,1721977469597589504
7794,1761785183924015104
7802,1749185842541695232
7803,1720342600312365056
7820,1685921288580157440
7824,1604535573267431424
7825,1647292737895505920
7828,1778382476362068224
7835,1673706761344241664
7847,1722777676790821376
7865,1766175801450369280
7873,1770704189464682752
7879,1767861278347849984
7906,1695952716915450368
7911,1643338591379021824
7919,1732006425226817792
7946,1764355831762452736
7972,1732873820997058816
7981,1774181566450954752
8032,1775493813735444736
8051,1769373022526288128
8077,1734214590484095488
8093,1738762698169655552
8097,1718988176377721088
8127,1752408834503516416
8130,1745592968826757376
8134,1689868323725742080
8137,1750506938817716224
8138,1755260298473189632
8149,1693444060856361472
8158,1671443028882382848
8163,1625193132466872320
8164,1632709396693172224
8168,1658993853137821696
8171,1666355229908934656
8183,1694813089042977024
8185,1696077616061562880
8192,1728842805009924352
8193,1731274841838526976
8197,1741973628692918528
8200,1749424173326172160
8202,1758440690319532544
8204,1742005032357085440
8216,1723510400405107200
8224,1752946129971621888
8232,1687433935012139008
8296,1542684948519419904
8297,1741658990956749312
8305,1729935192716980480
8321,1695175011122778368
8322,1763928343773147392
8323,1718567589314511104
8325,1732531455908057088
8330,1605991528278671360
8331,1615799112708026368
8333,1623855078414372864
8335,1630584722253312000
8336,1635090974950166528
8337,1724207517234860544
8352,1715521918613225472
8353,1720125303903629824
8369,1674770487497375744
8379,1770240257667277056
8426,1767688127844385024
8445,1737801986853028096
8448,1739513817862635520
8449,1737377407521411328
8451,1744211029226070272
8453,1743832106508157184
8456,1744731004462616576
8467,1746401739215921408
8469,1746805824373010944
8470,1746753027443232768
8481,1740559137749012736
8515,1747506837463720192
8516,1747507651599028224
8521,1747458265225818368
8526,1747872424102683136
8530,1747803884687364608
8532,1747452650038178048
8556,1747871719048560640
8558,1748133127652798976
8560,1748132223516029184
8578,1747836797642576384
8597,1748876717689639168
8611,1747723795824275712
8618,1749029789095043328
8632,1749254620071821568
8636,1749279345007337728
8666,1747463829154402816
8668,1751094671646896640
8674,1751792730831720704
8675,1750733397696102400
8682,1750034435062280704
